"super_id","school_id","school_name","num_applicants","pct_accepted","incoming_class_size","avg_gpa","avg_SAT","pct_STEM"
"SUP1001",1,"Harvard University",45664,14.39,1617,3.69,1461,30.62
"SUP1001",2,"Stanford University",23076,11.73,1014,3.98,1556,51.4
"SUP1001",3,"MIT",33305,5.21,1430,3.69,1358,49.34
"SUP1001",4,"Princeton University",27411,11.57,1979,3.77,1363,54.66
"SUP1001",5,"Yale University",23595,12.39,1190,3.88,1598,48.29
"SUP1002",6,"Columbia University",23651,10.87,1588,3.88,1497,47.11
"SUP1002",7,"University of Chicago",3210,7.53,1512,3.74,1526,59.31
"SUP1002",8,"California Institute of Technology",11737,9.56,1719,3.59,1496,55.46
"SUP1002",9,"University of Pennsylvania",16713,14.19,1415,3.88,1398,37.95
"SUP1002",10,"Duke University",19400,13.02,1231,3.73,1588,49
"SUP1003",11,"University of California, Berkeley",42511,7.87,1463,3.91,1311,36.26
"SUP1003",12,"University of Michigan",29250,5.69,1574,3.6,1416,43.67
"SUP1003",13,"Northwestern University",46961,9.91,1156,3.65,1586,56.59
"SUP1003",14,"University of California, Los Angeles",21718,6.26,1976,3.74,1469,41.36
"SUP1003",15,"Cornell University",9574,9.46,1093,3.89,1395,33.38
"SUP1004",16,"Johns Hopkins University",13621,9.88,1696,3.7,1589,44.04
"SUP1004",17,"Brown University",15613,14.34,1315,3.87,1480,47.95
"SUP1004",18,"University of Southern California",19620,13.43,1938,3.68,1324,47.63
"SUP1004",19,"Georgetown University",27010,9.5,1924,3.63,1412,42.89
"SUP1004",20,"New York University",48028,13.64,1022,3.97,1553,32.34
"SUP1005",21,"Massachusetts Institute of Technology",44705,7.65,1516,3.72,1491,31.27
"SUP1005",22,"California State University",38203,6.59,1386,3.86,1510,50.67
"SUP1005",23,"Florida State University",22597,7.39,1165,3.61,1451,45.39
"SUP1005",24,"University of Washington",8427,13.85,1043,3.76,1381,47.05
"SUP1005",25,"University of Virginia",39508,5.54,1782,3.91,1402,42.55
"SUP1006",26,"Rice University",15444,9.35,1222,3.61,1486,59.68
"SUP1006",27,"University of Miami",19192,6.55,1921,3.57,1502,38.49
"SUP1006",28,"Southern Methodist University",3506,11.69,1749,3.98,1359,33.69
"SUP1006",29,"University of Texas at Austin",32348,14.91,1110,3.88,1521,58.06
"SUP1006",30,"University of North Carolina",36259,9.49,1114,3.84,1507,32.34
"SUP1007",31,"Vanderbilt University",34042,14.39,1114,3.84,1442,43.95
"SUP1007",32,"University of Wisconsin-Madison",3465,9.12,1781,3.56,1306,56.52
"SUP1007",33,"Boston College",40629,8.36,1995,3.74,1559,39.04
"SUP1007",34,"University of Florida",7465,12.67,1734,3.88,1391,56.99
"SUP1007",35,"Indiana University Bloomington",5306,7.97,1733,3.59,1465,55.33
"SUP1008",36,"Purdue University",27211,5.2,1534,3.77,1314,43.34
"SUP1008",37,"University of Illinois Urbana-Champaign",25880,13.38,1278,3.6,1398,40.83
"SUP1008",38,"University of Arizona",39550,8.72,1507,3.59,1598,42.19
"SUP1008",39,"Michigan State University",1530,13.6,1420,3.52,1558,30.36
"SUP1008",40,"Pennsylvania State University",21507,9.14,1159,3.63,1394,46.86
"SUP1009",41,"University of Maryland",39551,12.79,1719,3.84,1417,45.63
"SUP1009",42,"University of Minnesota",38853,13.48,1933,3.93,1326,55.2
"SUP1009",43,"Michigan Technological University",24247,11.8,1621,3.54,1479,38.45
"SUP1009",44,"University of Kentucky",9939,5.17,1530,3.82,1544,57.57
"SUP1009",45,"University of Pittsburgh",22947,11.95,1084,3.97,1354,46.14
"SUP1010",46,"University of California, Davis",33554,7.86,1336,3.83,1544,39.15
"SUP1010",47,"University of Georgia",11386,5,1607,3.74,1405,46.14
"SUP1010",48,"University of Colorado Boulder",36412,10.31,1705,3.83,1461,45.55
"SUP1010",49,"University of Alabama",35265,10.06,1348,3.74,1409,38.85
"SUP1010",50,"University of Utah",8311,5.75,1101,3.72,1432,42.43
"SUP1011",51,"University of Washington",5385,9.92,1401,3.94,1590,31.43
"SUP1011",52,"Northwestern University",6611,6.11,1796,3.98,1434,52.03
"SUP1011",53,"University of Michigan",47371,13.97,1553,3.76,1401,41.4
